day	hour	value
1	1	0
1	2	3
1	3	12
1	4	12
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	3
1	12	0
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
1	18	0
1	19	12
1	20	0
1	21	0
1	22	0
1	23	24
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	21
2	11	3
2	12	0
2	13	3
2	14	33
2	15	36
2	16	9
2	17	3
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	3
2	24	3
3	1	0
3	2	0
3	3	9
3	4	3
3	5	3
3	6	3
3	7	3
3	8	3
3	9	3
3	10	3
3	11	3
3	12	6
3	13	6
3	14	3
3	15	3
3	16	6
3	17	0
3	18	0
3	19	0
3	20	90
3	21	96
3	22	12
3	23	3
3	24	3
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	3
4	13	0
4	14	6
4	15	6
4	16	6
4	17	0
4	18	0
4	19	3
4	20	3
4	21	3
4	22	6
4	23	0
4	24	3
5	1	0
5	2	3
5	3	6
5	4	3
5	5	3
5	6	3
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
5	18	3
5	19	3
5	20	3
5	21	0
5	22	12
5	23	0
5	24	15
6	1	0
6	2	9
6	3	24
6	4	15
6	5	15
6	6	15
6	7	15
6	8	15
6	9	15
6	10	18
6	11	18
6	12	24
6	13	21
6	14	18
6	15	18
6	16	18
6	17	0
6	18	3
6	19	3
6	20	0
6	21	0
6	22	3
6	23	3
6	24	0
7	1	0
7	2	3
7	3	21
7	4	3
7	5	3
7	6	3
7	7	3
7	8	3
7	9	3
7	10	3
7	11	3
7	12	6
7	13	6
7	14	3
7	15	3
7	16	18
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	15
7	24	75
